City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,ponta do sol,32.6667,-17.1,18.35,69,66,4.38,PT,1670086143
180,iralaya,15.0,-83.2333,26.8,81,3,6.09,HN,1670086143
181,abha,18.2164,42.5053,15.9,77,20,3.09,SA,1670086143
182,troitsko-pechorsk,62.7084,56.1964,-19.05,100,75,1.36,RU,1670086144
183,brigantine,39.4101,-74.3646,13.44,94,100,6.69,US,1670086144
184,seredka,58.1584,28.1858,-7.14,94,93,3.43,RU,1670086144
185,nemuro,43.3236,145.575,5.17,81,68,8.88,JP,1670086145
186,huittinen,61.1833,22.7,-8.46,99,57,0.9,FI,1670086145
187,praia,14.9215,-23.5087,26.3,44,20,5.14,CV,1670086145
188,mutare,-18.9707,32.6709,21.45,55,1,1.33,ZW,1670086146
189,port macquarie,-31.4333,152.9167,14.38,85,53,0.74,AU,1670086146
190,lubao,14.9167,120.55,25.84,82,99,2.33,PH,1670086146
191,harper,4.375,-7.7169,26.62,79,91,3.6,LR,1670086147
192,san quintin,30.4833,-115.95,18.22,56,100,0.65,MX,1670086147
193,ullapool,57.8987,-5.1604,7.97,95,100,1.43,GB,1670085885
194,merauke,-8.4667,140.3333,26.45,73,17,0.47,ID,1670085958
195,esna,25.2934,32.554,22.01,23,99,3.42,EG,1670086148
196,bambous virieux,-20.3428,57.7575,25.14,69,20,1.54,MU,1670086148
197,natal,-5.795,-35.2094,30.36,58,40,8.23,BR,1670085780
198,oranjemund,-28.55,16.4333,16.78,68,0,9.57,NA,1670085973
199,soltsy,58.1239,30.3238,-3.76,91,100,3.49,RU,1670086149
200,rudnogorsk,57.2639,103.7519,-17.87,95,100,3.11,RU,1670086149
201,paraguacu paulista,-22.4128,-50.5758,31.96,43,96,2.88,BR,1670086149
202,erenhot,43.6475,111.9767,-15.17,69,2,3.6,CN,1670086150
203,maniitsoq,65.4167,-52.9,-1.62,67,100,11.53,GL,1670086150
204,ribeira grande,38.5167,-28.7,14.22,67,75,6.69,PT,1670086150
205,victoria,22.2855,114.1577,21.81,80,76,3.58,HK,1670085910
206,rameshki,57.3439,36.0453,-7.95,93,100,3.64,RU,1670086151
207,san vicente,-26.6167,-54.1333,31.78,36,52,2.11,AR,1670086151
208,mahibadhoo,3.7833,72.9667,27.11,79,68,3.24,MV,1670086151
209,san jose,37.3394,-121.895,10.83,88,100,0.45,US,1670086119
210,glendive,47.1053,-104.7125,-10.46,78,0,3.09,US,1670086152
211,wenatchee,47.4235,-120.3103,-6.53,89,0,3.09,US,1670086043
212,polyarnyy,69.1989,33.4478,-4.43,94,99,3.74,RU,1670086152
213,xining,36.6167,101.7667,-6.21,43,97,1.24,CN,1670086018
214,colombo,6.9319,79.8478,25.29,86,99,1.69,LK,1670085896
215,nouadhibou,20.931,-17.0347,21.99,68,0,5.66,MR,1670086153
216,quatre cocos,-20.2078,57.7625,25.06,68,6,4.03,MU,1670086153
217,torbay,47.6666,-52.7314,2.54,63,75,3.09,CA,1670086154
218,sampit,-2.5333,112.95,23.57,97,100,0.9,ID,1670086154
219,marovoay,-16.1,46.6333,27.0,74,53,3.77,MG,1670086154
220,yarada,17.65,83.2667,26.18,94,40,1.03,IN,1670086155
221,paamiut,61.994,-49.6678,-1.16,68,100,3.14,GL,1670085892
222,ust-kut,56.7938,105.7672,-17.52,95,100,2.66,RU,1670086156
223,olafsvik,64.8945,-23.7142,4.22,79,12,2.34,IS,1670086156
224,uruzgan,32.8333,66.0,6.48,50,5,1.01,AF,1670086156
225,sao felix do xingu,-6.6447,-51.995,27.29,84,64,1.19,BR,1670086157
226,prainha,-1.8,-53.48,30.73,56,52,1.12,BR,1670086157
227,nogliki,51.8333,143.1667,-15.37,96,100,5.17,RU,1670086157
228,honggang,46.4667,124.8667,-19.76,84,10,3.39,CN,1670086158
229,tommot,58.9564,126.2925,-20.16,96,100,3.58,RU,1670086158
230,port lincoln,-34.7333,135.8667,21.47,48,0,4.49,AU,1670086158
231,maua,-23.6678,-46.4614,27.89,71,98,1.39,BR,1670085858
232,comodoro rivadavia,-45.8667,-67.5,23.92,22,34,14.4,AR,1670086159
233,kameno,42.5667,27.3,7.16,81,100,3.6,BG,1670086159
234,marsaxlokk,35.8419,14.5431,19.49,82,0,6.17,MT,1670086159
235,hovd,48.0056,91.6419,-18.37,75,0,1.98,MN,1670086160
236,amberley,39.2048,-84.428,8.36,58,0,7.2,US,1670086160
237,tenosique,17.4833,-91.4333,24.02,88,80,1.22,MX,1670086160
238,shenjiamen,29.9576,122.298,14.75,91,100,8.62,CN,1670086161
239,steinbach,50.1667,8.5667,3.11,87,75,4.63,DE,1670086161
240,camopi,3.1655,-52.3158,28.65,75,69,1.17,GF,1670086162
241,erzin,36.9559,36.2,15.37,69,47,1.1,TR,1670086162
242,pochutla,15.7432,-96.4661,31.57,42,0,2.57,MX,1670086162
243,mount gambier,-37.8333,140.7667,13.34,69,0,2.47,AU,1670086163
244,nuuk,64.1835,-51.7216,-0.66,74,75,10.29,GL,1670086163
245,alice springs,-23.7,133.8833,16.75,36,0,2.06,AU,1670086163
246,madera,37.1666,-119.8343,12.91,88,100,0.89,US,1670086164
247,aksu,41.1231,80.2644,-5.08,26,14,1.68,CN,1670086164
248,alexandria,31.2156,29.9553,19.3,63,81,5.1,EG,1670085928
249,bubaque,11.2833,-15.8333,25.87,62,10,4.14,GW,1670085891
250,meadville,41.6414,-80.1515,9.76,83,100,12.86,US,1670086165
251,nantucket,41.2835,-70.0995,15.08,83,75,9.26,US,1670086165
252,garissa,-0.4536,39.6401,30.21,51,83,3.91,KE,1670086165
